sebep,source_file,program_code,program_name,university,academic_year,metric,value
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710056,Mühendislik Programları,TED ÜNİVERSİTESİ,2021-2022,first_choice_placed,0.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710056,Mühendislik Programları,TED ÜNİVERSİTESİ,2021-2022,first_choice_placements,0.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710056,Mühendislik Programları,TED ÜNİVERSİTESİ,2021-2022,placed_male,26.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710056,Mühendislik Programları,TED ÜNİVERSİTESİ,2021-2022,placed_female,11.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710056,Mühendislik Programları,TED ÜNİVERSİTESİ,2021-2022,quota,37.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710056,Mühendislik Programları,TED ÜNİVERSİTESİ,2021-2022,placed_high_school,23.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710056,Mühendislik Programları,TED ÜNİVERSİTESİ,2021-2022,highest_score,441.5849914550781
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710056,Mühendislik Programları,TED ÜNİVERSİTESİ,2021-2022,placed_graduate,13.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710056,Mühendislik Programları,TED ÜNİVERSİTESİ,2021-2022,base_score,415.58499
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710056,Mühendislik Programları,TED ÜNİVERSİTESİ,2021-2022,success_rank,31496.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710056,Mühendislik Programları,TED ÜNİVERSİTESİ,2021-2022,preference_first,123.0
