source_file,sheet,source_column,semantic_meaning,canonical_destination,action
2021-2022/ankara_yks_2021.xlsx,Ankara_2021,erkek,Yerleşen erkek öğrenci sayısı,yok_atlas_benchmark_metrics.metric='placed_male',merged
2021-2022/ankara_yks_2021.xlsx,Ankara_2021,kiz,Yerleşen kız öğrenci sayısı,yok_atlas_benchmark_metrics.metric='placed_female',merged
2021-2022/ankara_yks_2021.xlsx,Ankara_2021,liseli,Yerleşenlerin lise öğrencisi olanları,yok_atlas_benchmark_metrics.metric='placed_high_school',merged
2021-2022/ankara_yks_2021.xlsx,Ankara_2021,maxpuan,Yerleşenlerin en yüksek puanı,yok_atlas_benchmark_metrics.metric='highest_score',merged
2021-2022/ankara_yks_2021.xlsx,Ankara_2021,mezun,Yerleşenlerin mezun olanları,yok_atlas_benchmark_metrics.metric='placed_graduate',merged
2021-2022/ankara_yks_2021.xlsx,Ankara_2021,tercihbirinci,Programı 1. sırada yazan aday,yok_atlas_benchmark_metrics.metric='preference_first',merged
2021-2022/ankara_yks_2021.xlsx,Ankara_2021,tercihtoplam,Programı tercih eden toplam aday,yok_atlas_benchmark_metrics.metric='preference_total',merged
2021-2022/ankara_yks_2022.xlsx,Ankara_2022,erkek,Yerleşen erkek öğrenci sayısı,yok_atlas_benchmark_metrics.metric='placed_male',merged
2021-2022/ankara_yks_2022.xlsx,Ankara_2022,kiz,Yerleşen kız öğrenci sayısı,yok_atlas_benchmark_metrics.metric='placed_female',merged
2021-2022/ankara_yks_2022.xlsx,Ankara_2022,liseli,Yerleşenlerin lise öğrencisi olanları,yok_atlas_benchmark_metrics.metric='placed_high_school',merged
2021-2022/ankara_yks_2022.xlsx,Ankara_2022,maxpuan,Yerleşenlerin en yüksek puanı,yok_atlas_benchmark_metrics.metric='highest_score',merged
2021-2022/ankara_yks_2022.xlsx,Ankara_2022,mezun,Yerleşenlerin mezun olanları,yok_atlas_benchmark_metrics.metric='placed_graduate',merged
2021-2022/ankara_yks_2022.xlsx,Ankara_2022,tercihbirinci,Programı 1. sırada yazan aday,yok_atlas_benchmark_metrics.metric='preference_first',merged
2021-2022/ankara_yks_2022.xlsx,Ankara_2022,tercihtoplam,Programı tercih eden toplam aday,yok_atlas_benchmark_metrics.metric='preference_total',merged
akademik-kadro/ankara_universiteleri_akademik_kadro_2020_2026.xlsx,Kadro_2020_2026,docent,Programa bağlı doçent sayısı,yok_atlas_benchmark_metrics.metric='staff_docent',merged
akademik-kadro/ankara_universiteleri_akademik_kadro_2020_2026.xlsx,Kadro_2020_2026,dr_ogr_uyesi,Programa bağlı Dr. Öğr. Üyesi sayısı,yok_atlas_benchmark_metrics.metric='staff_dr_ogr_uyesi',merged
akademik-kadro/ankara_universiteleri_akademik_kadro_2020_2026.xlsx,ABU_Zaman_Serisi,docent,Programa bağlı doçent sayısı,yok_atlas_benchmark_metrics.metric='staff_docent',merged
akademik-kadro/ankara_universiteleri_akademik_kadro_2020_2026.xlsx,ABU_Zaman_Serisi,dr_ogr_uyesi,Programa bağlı Dr. Öğr. Üyesi sayısı,yok_atlas_benchmark_metrics.metric='staff_dr_ogr_uyesi',merged
akademik-kadro/ankara_universiteleri_akademik_kadro_2026.xlsx,Kadro_2026,prof,Programa bağlı profesör sayısı,yok_atlas_benchmark_metrics.metric='staff_prof',merged
akademik-kadro/ankara_universiteleri_akademik_kadro_2026.xlsx,Kadro_2026,docent,Programa bağlı doçent sayısı,yok_atlas_benchmark_metrics.metric='staff_docent',merged
