id,isim,universite,sure,tur,kosullar,siraid,fakulte,aciklama,il,unitur,onlisans,kontenjan2022,birinci2022,birincimaxpuan2022,birincipuan2022,birinciyerlesme2022,maxpuan2022,puan2022,sira2022,yerlesme2022,kiz2022,kiz2023,erkek2022,erkek2023,liseli2022,liseli2023,mezun2022,mezun2023,universiteli2022,universiteli2023,unimezunu2022,unimezunu2023,tercihtoplam2022,tercihtoplam2023,tercihbirinci2022,tercihbirinci2023,tercihilkuc2022,tercihilkuc2023,tercihilkdokuz2022,tercihilkdokuz2023,kontenjan2023,depremzedekontenjan2023,kadinkontenjan2023,sehitkontenjan2023,birinci2023,yerlesen2023,maxpuan2023,birinciyerlesen2023,birincipuan2023,depremzedeyerlesen2023,depremzedepuan2023,kadinyerlesen2023,kadinpuan2023,sehityerlesen2023,sehitpuan2023,ekkontenjan2023,eksehitkontenjan2023,ekkadinkontenjan2023,ekdepremzedekontenjan2023,sira2023,puan2023,kontenjan2024,birinci2024,sehitkontenjan2024,kadinkontenjan2024,depremzedekontenjan2024,puan2024,sira2024,maxpuan2024,yerlesen2024,birinciyerlesen2024
101110015,Alman Dili ve Edebiyatı,ANKARA ÜNİVERSİTESİ,4,DİL,"22, 24, 158, 168",751.0,Dil ve Tarih Coğrafya Fakültesi,(Almanca),ANKARA,DEVLET,0,50.0,2.0,0.0,0.0,0.0,486.45379,396.45247,25049.0,52.0,35.0,39.0,17.0,15.0,16.0,20.0,23.0,14.0,3.0,4.0,10.0,14.0,1225.0,1240.0,74.0,65.0,310.0,306.0,818.0,881.0,50.0,0,2.0,0.0,2.0,51.0,456.84582,1.0,300.95296,0.0,0.0,2.0,233.86149,0.0,0.0,4.0,0.0,0.0,0.0,21440,417.29874,55,2,0,0,0,412.84698486328125,19603,469.9930114746094,57,0
101110024,Amerikan Kültürü ve Edebiyatı,ANKARA ÜNİVERSİTESİ,4,DİL,"22, 23, 24, 160",752.0,Dil ve Tarih Coğrafya Fakültesi,(İngilizce),ANKARA,DEVLET,0,60.0,2.0,418.55267,418.55267,1.0,440.99189,426.55594,15304.0,61.0,46.0,44.0,16.0,19.0,33.0,40.0,20.0,16.0,3.0,3.0,4.0,2.0,1228.0,1205.0,71.0,68.0,238.0,275.0,871.0,890.0,60.0,0,2.0,0.0,2.0,60.0,454.16795,2.0,392.02357,0.0,0.0,1.0,177.00069,0.0,0.0,1.0,0.0,1.0,0.0,13963,438.973,65,2,0,0,0,440.572998046875,10949,456.4679870605469,65,2
101110033,Antropoloji,ANKARA ÜNİVERSİTESİ,4,EŞİT AĞIRLIK,,753.0,Dil ve Tarih Coğrafya Fakültesi,,ANKARA,DEVLET,0,50.0,2.0,0.0,0.0,0.0,391.84414,288.49714,492408.0,52.0,30.0,30.0,22.0,24.0,3.0,9.0,11.0,4.0,11.0,9.0,26.0,30.0,944.0,880.0,57.0,63.0,218.0,225.0,599.0,601.0,50.0,0,2.0,0.0,2.0,52.0,355.60448,0.0,0.0,0.0,0.0,2.0,231.34703,0.0,0.0,3.0,0.0,0.0,0.0,423258,298.48815,55,2,0,0,0,294.2969970703125,389784,361.83099365234375,57,0
101110042,Arap Dili ve Edebiyatı,ANKARA ÜNİVERSİTESİ,4,DİL,168,755.0,Dil ve Tarih Coğrafya Fakültesi,,ANKARA,DEVLET,0,60.0,2.0,0.0,0.0,0.0,415.48525,303.75195,60977.0,62.0,42.0,40.0,20.0,23.0,18.0,10.0,18.0,20.0,10.0,14.0,16.0,19.0,408.0,437.0,31.0,48.0,96.0,135.0,251.0,314.0,60.0,0,2.0,0.0,2.0,62.0,444.50885,0.0,0.0,0.0,0.0,1.0,189.68873,0.0,0.0,7.0,0.0,1.0,0.0,62215,323.8291,60,2,0,0,0,323.9849853515625,60119,401.6050109863281,62,0
101110051,Arkeoloji,ANKARA ÜNİVERSİTESİ,4,EŞİT AĞIRLIK,"22, 23, 24",756.0,Dil ve Tarih Coğrafya Fakültesi,(İngilizce),ANKARA,DEVLET,0,25.0,1.0,264.96209,264.96209,1.0,392.83816,335.8019,225915.0,25.0,17.0,13.0,9.0,14.0,7.0,9.0,4.0,3.0,4.0,4.0,11.0,11.0,556.0,618.0,78.0,90.0,175.0,188.0,355.0,416.0,25.0,0,1.0,0.0,1.0,26.0,378.58092,0.0,0.0,0.0,0.0,1.0,259.67256,0.0,0.0,5.0,0.0,0.0,0.0,215275,335.57423,25,1,0,0,0,324.4280090332031,215188,354.3070068359375,25,1
101110069,Bilgi ve Belge Yönetimi,ANKARA ÜNİVERSİTESİ,4,EŞİT AĞIRLIK,,757.0,Dil ve Tarih Coğrafya Fakültesi,,ANKARA,DEVLET,0,50.0,2.0,0.0,0.0,0.0,340.97959,305.38729,375563.0,52.0,40.0,38.0,12.0,16.0,17.0,10.0,24.0,25.0,2.0,5.0,9.0,13.0,1192.0,914.0,98.0,67.0,302.0,247.0,734.0,580.0,50.0,0,2.0,0.0,2.0,51.0,380.13029,1.0,205.61199,0.0,0.0,2.0,207.59974,0.0,0.0,5.0,0.0,0.0,0.0,327415,313.17268,55,2,0,0,0,309.69500732421875,289552,353.27801513671875,57,0
101110087,Coğrafya,ANKARA ÜNİVERSİTESİ,4,SÖZEL,,759.0,Dil ve Tarih Coğrafya Fakültesi,,ANKARA,DEVLET,0,50.0,2.0,304.76295,304.76295,1.0,415.49533,367.89236,66973.0,51.0,26.0,26.0,26.0,28.0,14.0,13.0,21.0,25.0,2.0,4.0,13.0,10.0,1344.0,1159.0,160.0,131.0,390.0,323.0,857.0,775.0,50.0,0,2.0,0.0,2.0,51.0,414.89331,1.0,285.32689,0.0,0.0,2.0,322.43856,0.0,0.0,0.0,0.0,0.0,0.0,57251,372.22061,55,2,0,0,0,384.24798583984375,54961,454.0190124511719,57,0
101110096,Çağdaş Türk Lehçeleri ve Edebiyatları,ANKARA ÜNİVERSİTESİ,4,SÖZEL,,762.0,Dil ve Tarih Coğrafya Fakültesi,,ANKARA,DEVLET,0,60.0,2.0,0.0,0.0,0.0,413.13778,317.49459,244214.0,62.0,39.0,45.0,23.0,29.0,18.0,13.0,21.0,24.0,11.0,15.0,11.0,19.0,716.0,810.0,43.0,66.0,169.0,248.0,469.0,570.0,70.0,0,2.0,0.0,2.0,72.0,444.9795,0.0,0.0,0.0,0.0,2.0,239.28962,0.0,0.0,2.0,0.0,1.0,0.0,175706,331.49755,75,2,0,0,0,346.72900390625,151301,401.0679931640625,77,0
101110103,Çağdaş Yunan Dili ve Edebiyatı,ANKARA ÜNİVERSİTESİ,4,DİL,168,763.0,Dil ve Tarih Coğrafya Fakültesi,,ANKARA,DEVLET,0,35.0,1.0,0.0,0.0,0.0,441.45183,335.98447,47781.0,36.0,19.0,20.0,17.0,17.0,8.0,4.0,9.0,8.0,10.0,9.0,8.0,13.0,288.0,358.0,18.0,35.0,66.0,87.0,184.0,241.0,35.0,0,1.0,0.0,1.0,36.0,484.25816,0.0,0.0,0.0,0.0,1.0,295.03946,0.0,0.0,3.0,0.0,1.0,0.0,41160,369.94216,40,1,0,0,0,362.239013671875,41101,438.8529968261719,41,0
101110121,Fars Dili ve Edebiyatı,ANKARA ÜNİVERSİTESİ,4,DİL,159,769.0,Dil ve Tarih Coğrafya Fakültesi,,ANKARA,DEVLET,0,50.0,2.0,0.0,0.0,0.0,428.99105,247.70863,86539.0,52.0,32.0,24.0,20.0,29.0,9.0,6.0,16.0,12.0,11.0,8.0,15.0,23.0,231.0,429.0,16.0,38.0,51.0,108.0,128.0,275.0,50.0,0,2.0,0.0,2.0,52.0,432.49389,0.0,0.0,0.0,0.0,1.0,274.21176,0.0,0.0,12.0,0.0,2.0,0.0,75899,297.07092,50,2,0,0,0,297.5610046386719,74370,454.07000732421875,52,0
101110139,Felsefe,ANKARA ÜNİVERSİTESİ,4,EŞİT AĞIRLIK,,770.0,Dil ve Tarih Coğrafya Fakültesi,,ANKARA,DEVLET,0,40.0,1.0,0.0,0.0,0.0,418.40789,319.21844,299372.0,41.0,21.0,21.0,20.0,21.0,2.0,3.0,10.0,2.0,7.0,10.0,19.0,27.0,1091.0,892.0,61.0,65.0,232.0,228.0,682.0,613.0,40.0,0,1.0,0.0,1.0,41.0,463.71794,0.0,0.0,0.0,0.0,1.0,210.19688,0.0,0.0,7.0,0.0,0.0,0.0,258972,325.99225,30,1,0,0,0,317.9590148925781,245181,418.8810119628906,31,0
101110148,Fransız Dili ve Edebiyatı,ANKARA ÜNİVERSİTESİ,4,DİL,"22, 24, 159, 171",772.0,Dil ve Tarih Coğrafya Fakültesi,(Fransızca),ANKARA,DEVLET,0,50.0,2.0,0.0,0.0,0.0,470.32031,400.86691,23556.0,52.0,34.0,37.0,18.0,16.0,20.0,26.0,16.0,18.0,5.0,1.0,10.0,8.0,930.0,972.0,46.0,53.0,189.0,236.0,643.0,706.0,50.0,0,2.0,0.0,2.0,51.0,450.68115,1.0,288.93322,0.0,0.0,1.0,156.58365,0.0,0.0,1.0,0.0,1.0,0.0,20826,418.94921,55,2,0,0,0,418.9330139160156,17491,488.4729919433594,55,2
