isim,slug,kurulus,tur,il,bolge,website,eposta,telefon,fax,adres,rektor,profesor,docent,doktor,ogretim,arastirma,onlisanserkek,onlisanskadin,onlisanstoplam,lisanserkek,lisanskadin,lisanstoplam,yukseklisanserkek,yukseklisanskadin,yukseklisanstoplam,doktoraerkek,doktorakadin,doktoratoplam,toplamerkek,toplamkadin,toplam
ANKA TEKNOLOJİ ÜNİVERSİTESİ,anka-teknoloji-universitesi,18.06.2013,VAKIF,ANKARA,İÇ ANADOLU,-,-,0,-,-,- -,,,,,,,,,,,,,,,,,,,,
ANKARA BİLİM ÜNİVERSİTESİ,ankara-bilim-universitesi,17.04.2020,VAKIF,ANKARA,İÇ ANADOLU,www.ankarabilim.edu.tr,info@ankarabilim.edu.tr,3123970150,3123970150,Çamlıca Mah.Anadolu Bulv.No:16A/1 Yenimahalle Ankara,YAVUZ DEMİR,6.0,4.0,48.0,5.0,17.0,0.0,0.0,0.0,320.0,331.0,651.0,39.0,18.0,57.0,0.0,0.0,0.0,359.0,349.0,708.0
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,ankara-haci-bayram-veli-universitesi,18.05.2018,DEVLET,ANKARA,İÇ ANADOLU,https://hacibayram.edu.tr,hbv@hbv.edu.tr,+90 (312) 231 7360,3122313881,Ankara Hacı Bayram Veli Üniversitesi Yüce Tepe Mahallesi 85.Cadde No.8 06570 ,YUSUF TEKİN,307.0,171.0,210.0,156.0,226.0,577.0,1147.0,1724.0,8466.0,10509.0,18975.0,1291.0,1757.0,3048.0,1049.0,1139.0,2188.0,11383.0,14552.0,25935.0
ANKARA MEDİPOL ÜNİVERSİTESİ,ankara-medipol-universitesi,18.05.2018,VAKIF,ANKARA,İÇ ANADOLU,www.ankaramedipol.edu.tr,bilgi@ankaramedipol.edu.tr,4442010,3129201006,"Hacı Bayram Mahallesi, Talatpaşa Blv. No:2 06050 Altındağ/Ankara",AHMET ZEKİ ŞENGİL,23.0,14.0,144.0,72.0,33.0,629.0,948.0,1577.0,958.0,2016.0,2974.0,2.0,53.0,55.0,0.0,20.0,20.0,1589.0,3037.0,4626.0
ANKARA MÜZİK VE GÜZEL SANATLAR ÜNİVERSİTESİ,ankara-muzik-ve-guzel-sanatlar-universitesi,1.07.2017,DEVLET,ANKARA,İÇ ANADOLU,http://www.mgu.edu.tr,iletisim@mgu.edu.tr,3124860386,3124861795,Yukarı Dikmen Mah. Turan Güneş Bul. Neşet Ertaş Cad. No:4 Oran Ankara,ERHAN ÖZDEN,9.0,15.0,31.0,28.0,13.0,0.0,0.0,0.0,226.0,141.0,367.0,101.0,62.0,163.0,27.0,18.0,45.0,354.0,221.0,575.0
ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,ankara-sosyal-bilimler-universitesi,31.01.2013,DEVLET,ANKARA,İÇ ANADOLU,http://www.asbu.edu.tr/,bilgi@asbu.edu.tr,3125964444,3125964424,Hükümet Meydanı No: 2 Ulus/ANKARA,MUSA KAZIM ARICAN,54.0,48.0,86.0,90.0,82.0,3.0,3.0,6.0,1165.0,1622.0,2787.0,548.0,483.0,1031.0,153.0,102.0,255.0,1869.0,2210.0,4079.0
ANKARA ÜNİVERSİTESİ,ankara-universitesi,13.06.1946,DEVLET,ANKARA,İÇ ANADOLU,http://www.ankara.edu.tr,ankara@ankara.edu.tr,3122234361,0312 2236370,Ankara Üniversitesi Rektörlüğü Tandoğan/ANKARA,NECDET ÜNÜVAR,1111.0,364.0,281.0,684.0,1307.0,4881.0,5042.0,9923.0,22339.0,25932.0,48271.0,2562.0,3189.0,5751.0,3007.0,3269.0,6276.0,32789.0,37432.0,70221.0
ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,ankara-yildirim-beyazit-universitesi,21.07.2010,DEVLET,ANKARA,İÇ ANADOLU,www.aybu.edu.tr,destek@ybu.edu.tr,3129061000,3129062950,Ankara Yıldırım Beyazıt Üniversitesi Esenboğa Külliyesi Dumlupınar Mahallesi ,İBRAHİM AYDINLI,285.0,211.0,264.0,239.0,382.0,1258.0,1762.0,3020.0,7126.0,9512.0,16638.0,1565.0,1682.0,3247.0,708.0,553.0,1261.0,10657.0,13509.0,24166.0
ATILIM ÜNİVERSİTESİ,atilim-universitesi,15.07.1997,VAKIF,ANKARA,İÇ ANADOLU,www.atilim.edu.tr,atiliminfo@atilim.edu.tr,3125868200,3125868091,Atılım Üniversitesi Kızılcaşar Mah. İncek Kampüsü Gölbaşı/İncek/ANKARA,MEHMET YILDIRIM ÜÇTUĞ,109.0,52.0,150.0,131.0,115.0,75.0,201.0,276.0,4687.0,3558.0,8245.0,474.0,436.0,910.0,104.0,101.0,205.0,5340.0,4296.0,9636.0
BAŞKENT ÜNİVERSİTESİ,baskent-universitesi,15.01.1994,VAKIF,ANKARA,İÇ ANADOLU,http://www.baskent.edu.tr,rektorlk@baskent.edu.tr,0312 234 12 15,0312 246 66 04,Bağlıca Kampüsü Fatih Sultan Mahallesi\nEskişehir Yolu 18.km TR 06790\n,- -,391.0,187.0,328.0,408.0,438.0,1250.0,1383.0,2633.0,5201.0,7077.0,12278.0,652.0,998.0,1650.0,254.0,359.0,613.0,7357.0,9817.0,17174.0
