abu_program_key,peer_program_key,relation,peer_university,peer_program_code
BILGISAYAR PROGRAMCILIGI,BILGISAYAR PROGRAMCILIGI,same,ANKARA MEDİPOL ÜNİVERSİTESİ,209210039
BILGISAYAR PROGRAMCILIGI,BILGISAYAR PROGRAMCILIGI,same,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,110090119
BILGISAYAR PROGRAMCILIGI,BILGISAYAR PROGRAMCILIGI,same,ANKARA ÜNİVERSİTESİ,101100584
BILGISAYAR PROGRAMCILIGI,BILGISAYAR PROGRAMCILIGI,same,BAŞKENT ÜNİVERSİTESİ (ANKARA),200651609
BILGISAYAR PROGRAMCILIGI,BILGISAYAR PROGRAMCILIGI,same,GAZİ ÜNİVERSİTESİ (ANKARA),104151003
BILGISAYAR PROGRAMCILIGI,BILGISAYAR PROGRAMCILIGI,same,HACETTEPE ÜNİVERSİTESİ (ANKARA),104850652
BILGISAYAR PROGRAMCILIGI,BILGISAYAR PROGRAMCILIGI,same,OSTİM TEKNİK ÜNİVERSİTESİ (ANKARA),209100108
BILGISAYAR PROGRAMCILIGI,BILGISAYAR PROGRAMCILIGI,same,UFUK ÜNİVERSİTESİ (ANKARA),205850278
BILGISAYAR PROGRAMCILIGI,BILGISAYAR PROGRAMCILIGI,same,YÜKSEK İHTİSAS ÜNİVERSİTESİ (ANKARA),207950125
BILGISAYAR PROGRAMCILIGI,BILGISAYAR PROGRAMCILIGI,same,ÇANKAYA ÜNİVERSİTESİ (ANKARA),201190062
BILGISAYAR PROGRAMCILIGI,SIBER GUVENLIK ANALISTLIGI VE OPERATORLUGU,similar,ANKARA ÜNİVERSİTESİ,101190675
BILGISAYAR PROGRAMCILIGI,WEB TASARIMI VE KODLAMA,similar,ANKARA ÜNİVERSİTESİ,101190612
BILGISAYAR PROGRAMCILIGI,BILISIM GUVENLIGI TEKNOLOJISI,similar,GAZİ ÜNİVERSİTESİ (ANKARA),104190553
BILGISAYAR PROGRAMCILIGI,BILISIM GUVENLIGI TEKNOLOJISI,similar,OSTİM TEKNİK ÜNİVERSİTESİ (ANKARA),209100122
BILGISAYAR PROGRAMCILIGI,BILISIM GUVENLIGI TEKNOLOJISI,similar,UFUK ÜNİVERSİTESİ (ANKARA),205850540
BILISIM GUVENLIGI TEKNOLOJISI,BILISIM GUVENLIGI TEKNOLOJISI,same,GAZİ ÜNİVERSİTESİ (ANKARA),104190553
BILISIM GUVENLIGI TEKNOLOJISI,BILISIM GUVENLIGI TEKNOLOJISI,same,OSTİM TEKNİK ÜNİVERSİTESİ (ANKARA),209100122
BILISIM GUVENLIGI TEKNOLOJISI,BILISIM GUVENLIGI TEKNOLOJISI,same,UFUK ÜNİVERSİTESİ (ANKARA),205850540
BILISIM GUVENLIGI TEKNOLOJISI,BILGISAYAR PROGRAMCILIGI,similar,ANKARA MEDİPOL ÜNİVERSİTESİ,209210039
BILISIM GUVENLIGI TEKNOLOJISI,BILGISAYAR PROGRAMCILIGI,similar,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,110090119
BILISIM GUVENLIGI TEKNOLOJISI,BILGISAYAR PROGRAMCILIGI,similar,ANKARA ÜNİVERSİTESİ,101100584
BILISIM GUVENLIGI TEKNOLOJISI,SIBER GUVENLIK ANALISTLIGI VE OPERATORLUGU,similar,ANKARA ÜNİVERSİTESİ,101190675
BILISIM GUVENLIGI TEKNOLOJISI,BILGISAYAR PROGRAMCILIGI,similar,BAŞKENT ÜNİVERSİTESİ (ANKARA),200651609
BILISIM GUVENLIGI TEKNOLOJISI,BILGISAYAR PROGRAMCILIGI,similar,GAZİ ÜNİVERSİTESİ (ANKARA),104151003
BILISIM GUVENLIGI TEKNOLOJISI,BILGISAYAR PROGRAMCILIGI,similar,HACETTEPE ÜNİVERSİTESİ (ANKARA),104850652
BILISIM GUVENLIGI TEKNOLOJISI,BILGISAYAR PROGRAMCILIGI,similar,OSTİM TEKNİK ÜNİVERSİTESİ (ANKARA),209100108
BILISIM GUVENLIGI TEKNOLOJISI,BILGISAYAR PROGRAMCILIGI,similar,UFUK ÜNİVERSİTESİ (ANKARA),205850278
