academic_year,faculty,department,program_name,program_code,score_type,scholarship_type,quota,placed_students,vacant_quota,occupancy_rate,base_score,highest_score,success_rank
2025,Mühendislik ve Mimarlık Fakültesi,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği (İngilizce) (Burslu) (4 Yıllık),,SAY,Burslu,10,11,,1.1,439.51791,,55895
2024,Mühendislik ve Mimarlık Fakültesi,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği (İngilizce) (Burslu) (4 Yıllık),,SAY,Burslu,10,11,,1.1,430.30696,,54018
2023,Mühendislik ve Mimarlık Fakültesi,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği (İngilizce) (Burslu) (4 Yıllık),,SAY,Burslu,10,12,,1.2,478.97169,,33416
2022,Mühendislik ve Mimarlık Fakültesi,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği (İngilizce) (Burslu) (4 Yıllık),,SAY,Burslu,9,9,,1,467.00519,,42177
2025,Mühendislik ve Mimarlık Fakültesi,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği (Burslu) (4 Yıllık),,SAY,Burslu,10,11,,1.1,431.91149,,63468
2024,Mühendislik ve Mimarlık Fakültesi,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği (Burslu) (4 Yıllık),,SAY,Burslu,5,6,,1.2,424.58894,,59030
2023,Mühendislik ve Mimarlık Fakültesi,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği (Burslu) (4 Yıllık),,SAY,Burslu,6,8,,1.333333,472.03412,,38898
2022,Mühendislik ve Mimarlık Fakültesi,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği (Burslu) (4 Yıllık),,SAY,Burslu,,,,,,,
2025,Mühendislik ve Mimarlık Fakültesi,Yazılım Mühendisliği,Yazılım Mühendisliği (İngilizce) (Burslu) (4 Yıllık),,SAY,Burslu,7,8,,1.142857,431.79005,,63592
2024,Mühendislik ve Mimarlık Fakültesi,Yazılım Mühendisliği,Yazılım Mühendisliği (İngilizce) (Burslu) (4 Yıllık),,SAY,Burslu,10,11,,1.1,417.06405,,65660
2023,Mühendislik ve Mimarlık Fakültesi,Yazılım Mühendisliği,Yazılım Mühendisliği (İngilizce) (Burslu) (4 Yıllık),,SAY,Burslu,10,11,,1.1,471.53142,,39304
2022,Mühendislik ve Mimarlık Fakültesi,Yazılım Mühendisliği,Yazılım Mühendisliği (İngilizce) (Burslu) (4 Yıllık),,SAY,Burslu,9,9,,1,462.22244,,46056
2025,Mühendislik ve Mimarlık Fakültesi,Elektrik-Elektronik Mühendisliği,Elektrik-Elektronik Mühendisliği (İngilizce) (Burslu) (4 Yıllık),,SAY,Burslu,7,8,,1.142857,431.15067,,64242
2024,Mühendislik ve Mimarlık Fakültesi,Elektrik-Elektronik Mühendisliği,Elektrik-Elektronik Mühendisliği (İngilizce) (Burslu) (4 Yıllık),,SAY,Burslu,8,9,,1.125,417.2539,,65516
2023,Mühendislik ve Mimarlık Fakültesi,Elektrik-Elektronik Mühendisliği,Elektrik-Elektronik Mühendisliği (İngilizce) (Burslu) (4 Yıllık),,SAY,Burslu,8,9,,1.125,447.87237,,60155
2022,Mühendislik ve Mimarlık Fakültesi,Elektrik-Elektronik Mühendisliği,Elektrik-Elektronik Mühendisliği (İngilizce) (Burslu) (4 Yıllık),,SAY,Burslu,6,6,,1,443.70929,,62162
2025,Mühendislik ve Mimarlık Fakültesi,Endüstri Mühendisliği,Endüstri Mühendisliği (İngilizce) (Burslu) (4 Yıllık),,SAY,Burslu,7,8,,1.142857,429.18705,,66266
2024,Mühendislik ve Mimarlık Fakültesi,Endüstri Mühendisliği,Endüstri Mühendisliği (İngilizce) (Burslu) (4 Yıllık),,SAY,Burslu,6,7,,1.166667,410.87282,,71627
2023,Mühendislik ve Mimarlık Fakültesi,Endüstri Mühendisliği,Endüstri Mühendisliği (İngilizce) (Burslu) (4 Yıllık),,SAY,Burslu,5,6,,1.2,447.34584,,60652
2022,Mühendislik ve Mimarlık Fakültesi,Endüstri Mühendisliği,Endüstri Mühendisliği (İngilizce) (Burslu) (4 Yıllık),,SAY,Burslu,5,5,,1,435.00135,,70120
2025,Mühendislik ve Mimarlık Fakültesi,Bilişim Sistemleri Mühendisliği,Bilişim Sistemleri Mühendisliği (İngilizce) (Burslu) (4 Yıllık),,SAY,Burslu,5,6,,1.2,408.54267,,88768
2024,Mühendislik ve Mimarlık Fakültesi,Bilişim Sistemleri Mühendisliği,Bilişim Sistemleri Mühendisliği (İngilizce) (Burslu) (4 Yıllık),,SAY,Burslu,11,12,,1.090909,397.28056,,85473
2023,Mühendislik ve Mimarlık Fakültesi,Bilişim Sistemleri Mühendisliği,Bilişim Sistemleri Mühendisliği (İngilizce) (Burslu) (4 Yıllık),,SAY,Burslu,10,11,,1.1,446.1183,,61744
2022,Mühendislik ve Mimarlık Fakültesi,Bilişim Sistemleri Mühendisliği,Bilişim Sistemleri Mühendisliği (İngilizce) (Burslu) (4 Yıllık),,SAY,Burslu,9,9,,1,412.4117,,92626
2025,Mühendislik ve Mimarlık Fakültesi,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği (%50 İndirimli) (4 Yıllık),,SAY,%50 İndirimli,68,4,,0.058824,,,
2024,Mühendislik ve Mimarlık Fakültesi,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği (%50 İndirimli) (4 Yıllık),,SAY,%50 İndirimli,31,21,,0.677419,,,
2023,Mühendislik ve Mimarlık Fakültesi,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği (%50 İndirimli) (4 Yıllık),,SAY,%50 İndirimli,20,20,,1,350.73487,,187267
2022,Mühendislik ve Mimarlık Fakültesi,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği (%50 İndirimli) (4 Yıllık),,SAY,%50 İndirimli,,,,,,,
2025,Mühendislik ve Mimarlık Fakültesi,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli) (4 Yıllık),,SAY,%50 İndirimli,66,23,,0.348485,,,
2024,Mühendislik ve Mimarlık Fakültesi,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli) (4 Yıllık),,SAY,%50 İndirimli,56,56,,1,297.21887,,274491
2023,Mühendislik ve Mimarlık Fakültesi,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli) (4 Yıllık),,SAY,%50 İndirimli,44,44,,1,375.56726,,144167
2022,Mühendislik ve Mimarlık Fakültesi,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli) (4 Yıllık),,SAY,%50 İndirimli,43,43,,1,354.60156,,168041
2025,Mühendislik ve Mimarlık Fakültesi,Bilişim Sistemleri Mühendisliği,Bilişim Sistemleri Mühendisliği (İngilizce) (%50 İndirimli) (4 Yıllık),,SAY,%50 İndirimli,34,2,,0.058824,,,
2024,Mühendislik ve Mimarlık Fakültesi,Bilişim Sistemleri Mühendisliği,Bilişim Sistemleri Mühendisliği (İngilizce) (%50 İndirimli) (4 Yıllık),,SAY,%50 İndirimli,68,8,,0.117647,,,
2023,Mühendislik ve Mimarlık Fakültesi,Bilişim Sistemleri Mühendisliği,Bilişim Sistemleri Mühendisliği (İngilizce) (%50 İndirimli) (4 Yıllık),,SAY,%50 İndirimli,54,50,,0.925926,,,
2022,Mühendislik ve Mimarlık Fakültesi,Bilişim Sistemleri Mühendisliği,Bilişim Sistemleri Mühendisliği (İngilizce) (%50 İndirimli) (4 Yıllık),,SAY,%50 İndirimli,43,21,,0.488372,,,
2025,Mühendislik ve Mimarlık Fakültesi,Elektrik-Elektronik Mühendisliği,Elektrik-Elektronik Mühendisliği (İngilizce) (%50 İndirimli) (4 Yıllık),,SAY,%50 İndirimli,42,10,,0.238095,,,
2024,Mühendislik ve Mimarlık Fakültesi,Elektrik-Elektronik Mühendisliği,Elektrik-Elektronik Mühendisliği (İngilizce) (%50 İndirimli) (4 Yıllık),,SAY,%50 İndirimli,47,14,,0.297872,,,
2023,Mühendislik ve Mimarlık Fakültesi,Elektrik-Elektronik Mühendisliği,Elektrik-Elektronik Mühendisliği (İngilizce) (%50 İndirimli) (4 Yıllık),,SAY,%50 İndirimli,41,41,,1,316.76459,,270729
2022,Mühendislik ve Mimarlık Fakültesi,Elektrik-Elektronik Mühendisliği,Elektrik-Elektronik Mühendisliği (İngilizce) (%50 İndirimli) (4 Yıllık),,SAY,%50 İndirimli,27,27,,1,302.45157,,286029
2025,Mühendislik ve Mimarlık Fakültesi,Endüstri Mühendisliği,Endüstri Mühendisliği (İngilizce) (%50 İndirimli) (4 Yıllık),,SAY,%50 İndirimli,42,9,,0.214286,,,
2024,Mühendislik ve Mimarlık Fakültesi,Endüstri Mühendisliği,Endüstri Mühendisliği (İngilizce) (%50 İndirimli) (4 Yıllık),,SAY,%50 İndirimli,38,13,,0.342105,,,
2023,Mühendislik ve Mimarlık Fakültesi,Endüstri Mühendisliği,Endüstri Mühendisliği (İngilizce) (%50 İndirimli) (4 Yıllık),,SAY,%50 İndirimli,34,34,,1,309.36833,,294170
2022,Mühendislik ve Mimarlık Fakültesi,Endüstri Mühendisliği,Endüstri Mühendisliği (İngilizce) (%50 İndirimli) (4 Yıllık),,SAY,%50 İndirimli,22,20,,0.909091,,,
2025,Mühendislik ve Mimarlık Fakültesi,Yazılım Mühendisliği,Yazılım Mühendisliği (İngilizce) (%50 İndirimli) (4 Yıllık),,SAY,%50 İndirimli,42,3,,0.071429,,,
2024,Mühendislik ve Mimarlık Fakültesi,Yazılım Mühendisliği,Yazılım Mühendisliği (İngilizce) (%50 İndirimli) (4 Yıllık),,SAY,%50 İndirimli,56,19,,0.339286,,,
2023,Mühendislik ve Mimarlık Fakültesi,Yazılım Mühendisliği,Yazılım Mühendisliği (İngilizce) (%50 İndirimli) (4 Yıllık),,SAY,%50 İndirimli,44,44,,1,362.06992,,166174
2022,Mühendislik ve Mimarlık Fakültesi,Yazılım Mühendisliği,Yazılım Mühendisliği (İngilizce) (%50 İndirimli) (4 Yıllık),,SAY,%50 İndirimli,43,43,,1,347.09103,,181172
2025,Mühendislik ve Mimarlık Fakültesi,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği (İngilizce) (Ücretli) (4 Yıllık),,SAY,Ücretli,2,,,,,,
2024,Mühendislik ve Mimarlık Fakültesi,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği (İngilizce) (Ücretli) (4 Yıllık),,SAY,Ücretli,12,3,,0.25,,,
2023,Mühendislik ve Mimarlık Fakültesi,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği (İngilizce) (Ücretli) (4 Yıllık),,SAY,Ücretli,20,20,,1,327.11367,,241498
2022,Mühendislik ve Mimarlık Fakültesi,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği (İngilizce) (Ücretli) (4 Yıllık),,SAY,Ücretli,8,8,,1,340.37114,,193775
2025,Güzel Sanatlar ve Tasarım Fakültesi,Yeni Medya ve İletişim,Yeni Medya ve İletişim (İngilizce) (Burslu) (4 Yıllık),,SÖZ,Burslu,6,7,,1.166667,357.82251,,44228
2024,Güzel Sanatlar ve Tasarım Fakültesi,Yeni Medya ve İletişim,Yeni Medya ve İletişim (İngilizce) (Burslu) (4 Yıllık),,SÖZ,Burslu,6,8,,1.333333,368.74448,,86557
2023,Güzel Sanatlar ve Tasarım Fakültesi,Yeni Medya ve İletişim,Yeni Medya ve İletişim (İngilizce) (Burslu) (4 Yıllık),,SÖZ,Burslu,4,5,,1.25,411.98737,,12824
2022,Güzel Sanatlar ve Tasarım Fakültesi,Yeni Medya ve İletişim,Yeni Medya ve İletişim (İngilizce) (Burslu) (4 Yıllık),,SÖZ,Burslu,4,4,,1,384.17208,,40077
2025,Güzel Sanatlar ve Tasarım Fakültesi,Film Tasarımı ve Yönetimi,Film Tasarımı ve Yönetimi (İngilizce) (Burslu) (4 Yıllık),,SÖZ,Burslu,4,4,,1,350.67819,,56565
2024,Güzel Sanatlar ve Tasarım Fakültesi,Film Tasarımı ve Yönetimi,Film Tasarımı ve Yönetimi (İngilizce) (Burslu) (4 Yıllık),,SÖZ,Burslu,4,5,,1.25,394.02344,,39505
2023,Güzel Sanatlar ve Tasarım Fakültesi,Film Tasarımı ve Yönetimi,Film Tasarımı ve Yönetimi (İngilizce) (Burslu) (4 Yıllık),,SÖZ,Burslu,4,4,,1,389.33762,,31920
2022,Güzel Sanatlar ve Tasarım Fakültesi,Film Tasarımı ve Yönetimi,Film Tasarımı ve Yönetimi (İngilizce) (Burslu) (4 Yıllık),,SÖZ,Burslu,3,3,,1,373.33586,,56905
2025,Güzel Sanatlar ve Tasarım Fakültesi,Film Tasarımı ve Yönetimi,Film Tasarımı ve Yönetimi (İngilizce) (%50 İndirimli) (4 Yıllık),,SÖZ,%50 İndirimli,25,4,,0.16,,,
2024,Güzel Sanatlar ve Tasarım Fakültesi,Film Tasarımı ve Yönetimi,Film Tasarımı ve Yönetimi (İngilizce) (%50 İndirimli) (4 Yıllık),,SÖZ,%50 İndirimli,23,19,,0.826087,,,
2023,Güzel Sanatlar ve Tasarım Fakültesi,Film Tasarımı ve Yönetimi,Film Tasarımı ve Yönetimi (İngilizce) (%50 İndirimli) (4 Yıllık),,SÖZ,%50 İndirimli,25,25,,1,169.46014,,1532228
2022,Güzel Sanatlar ve Tasarım Fakültesi,Film Tasarımı ve Yönetimi,Film Tasarımı ve Yönetimi (İngilizce) (%50 İndirimli) (4 Yıllık),,SÖZ,%50 İndirimli,15,15,,1,230.89995,,1036615
2025,Güzel Sanatlar ve Tasarım Fakültesi,Yeni Medya ve İletişim,Yeni Medya ve İletişim (İngilizce) (%50 İndirimli) (4 Yıllık),,SÖZ,%50 İndirimli,38,6,,0.157895,,,
2024,Güzel Sanatlar ve Tasarım Fakültesi,Yeni Medya ve İletişim,Yeni Medya ve İletişim (İngilizce) (%50 İndirimli) (4 Yıllık),,SÖZ,%50 İndirimli,35,22,,0.628571,,,
2023,Güzel Sanatlar ve Tasarım Fakültesi,Yeni Medya ve İletişim,Yeni Medya ve İletişim (İngilizce) (%50 İndirimli) (4 Yıllık),,SÖZ,%50 İndirimli,29,29,,1,239.35165,,932690
2022,Güzel Sanatlar ve Tasarım Fakültesi,Yeni Medya ve İletişim,Yeni Medya ve İletişim (İngilizce) (%50 İndirimli) (4 Yıllık),,SÖZ,%50 İndirimli,18,18,,1,255.384,,758711
2025,Hukuk Fakültesi,Hukuk,Hukuk (Burslu) (4 Yıllık),,EA,Burslu,10,11,,1.1,419.0631,,13802
