faculty,department,program_name,score_type,scholarship_type,observed_years,years_with_placed_data,estimated_4_cohort_placed_students
Mühendislik ve Mimarlık Fakültesi,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği (İngilizce) (Burslu) (4 Yıllık),SAY,Burslu,2022|2023|2024|2025,4,43
Mühendislik ve Mimarlık Fakültesi,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği (Burslu) (4 Yıllık),SAY,Burslu,2022|2023|2024|2025,3,
Mühendislik ve Mimarlık Fakültesi,Yazılım Mühendisliği,Yazılım Mühendisliği (İngilizce) (Burslu) (4 Yıllık),SAY,Burslu,2022|2023|2024|2025,4,39
Mühendislik ve Mimarlık Fakültesi,Elektrik-Elektronik Mühendisliği,Elektrik-Elektronik Mühendisliği (İngilizce) (Burslu) (4 Yıllık),SAY,Burslu,2022|2023|2024|2025,4,32
Mühendislik ve Mimarlık Fakültesi,Endüstri Mühendisliği,Endüstri Mühendisliği (İngilizce) (Burslu) (4 Yıllık),SAY,Burslu,2022|2023|2024|2025,4,26
Mühendislik ve Mimarlık Fakültesi,Bilişim Sistemleri Mühendisliği,Bilişim Sistemleri Mühendisliği (İngilizce) (Burslu) (4 Yıllık),SAY,Burslu,2022|2023|2024|2025,4,38
Mühendislik ve Mimarlık Fakültesi,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği (%50 İndirimli) (4 Yıllık),SAY,%50 İndirimli,2022|2023|2024|2025,3,
Mühendislik ve Mimarlık Fakültesi,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli) (4 Yıllık),SAY,%50 İndirimli,2022|2023|2024|2025,4,166
Mühendislik ve Mimarlık Fakültesi,Bilişim Sistemleri Mühendisliği,Bilişim Sistemleri Mühendisliği (İngilizce) (%50 İndirimli) (4 Yıllık),SAY,%50 İndirimli,2022|2023|2024|2025,4,81
Mühendislik ve Mimarlık Fakültesi,Elektrik-Elektronik Mühendisliği,Elektrik-Elektronik Mühendisliği (İngilizce) (%50 İndirimli) (4 Yıllık),SAY,%50 İndirimli,2022|2023|2024|2025,4,92
Mühendislik ve Mimarlık Fakültesi,Endüstri Mühendisliği,Endüstri Mühendisliği (İngilizce) (%50 İndirimli) (4 Yıllık),SAY,%50 İndirimli,2022|2023|2024|2025,4,76
Mühendislik ve Mimarlık Fakültesi,Yazılım Mühendisliği,Yazılım Mühendisliği (İngilizce) (%50 İndirimli) (4 Yıllık),SAY,%50 İndirimli,2022|2023|2024|2025,4,109
Mühendislik ve Mimarlık Fakültesi,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği (İngilizce) (Ücretli) (4 Yıllık),SAY,Ücretli,2022|2023|2024|2025,3,
Güzel Sanatlar ve Tasarım Fakültesi,Yeni Medya ve İletişim,Yeni Medya ve İletişim (İngilizce) (Burslu) (4 Yıllık),SÖZ,Burslu,2022|2023|2024|2025,4,24
Güzel Sanatlar ve Tasarım Fakültesi,Film Tasarımı ve Yönetimi,Film Tasarımı ve Yönetimi (İngilizce) (Burslu) (4 Yıllık),SÖZ,Burslu,2022|2023|2024|2025,4,16
Güzel Sanatlar ve Tasarım Fakültesi,Film Tasarımı ve Yönetimi,Film Tasarımı ve Yönetimi (İngilizce) (%50 İndirimli) (4 Yıllık),SÖZ,%50 İndirimli,2022|2023|2024|2025,4,63
Güzel Sanatlar ve Tasarım Fakültesi,Yeni Medya ve İletişim,Yeni Medya ve İletişim (İngilizce) (%50 İndirimli) (4 Yıllık),SÖZ,%50 İndirimli,2022|2023|2024|2025,4,75
Hukuk Fakültesi,Hukuk,Hukuk (Burslu) (4 Yıllık),EA,Burslu,2022|2023|2024|2025,4,88
İnsan ve Toplum Bilimleri Fakültesi,Yönetim Bilişim Sistemleri,Yönetim Bilişim Sistemleri (İngilizce) (Burslu) (4 Yıllık),EA,Burslu,2022|2023|2024|2025,4,29
İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,Psikoloji (İngilizce) (Burslu) (4 Yıllık),EA,Burslu,2022|2023|2024|2025,4,44
İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,Psikoloji (Burslu) (4 Yıllık),EA,Burslu,2022|2023|2024|2025,4,45
İnsan ve Toplum Bilimleri Fakültesi,Yönetim Bilişim Sistemleri,Yönetim Bilişim Sistemleri (Burslu) (4 Yıllık),EA,Burslu,2022|2023|2024|2025,3,
Güzel Sanatlar ve Tasarım Fakültesi,İç Mimarlık ve Çevre Tasarımı,İç Mimarlık ve Çevre Tasarımı (İngilizce) (Burslu) (4 Yıllık),EA,Burslu,2022|2023|2024|2025,4,23
Hukuk Fakültesi,Hukuk,Hukuk (%50 İndirimli) (4 Yıllık),EA,%50 İndirimli,2022|2023|2024|2025,3,
İnsan ve Toplum Bilimleri Fakültesi,İşletme,İşletme (İngilizce) (Burslu) (4 Yıllık),EA,Burslu,2022|2023|2024|2025,4,22
İnsan ve Toplum Bilimleri Fakültesi,Siyaset Bilimi ve Kamu Yönetimi,Siyaset Bilimi ve Kamu Yönetimi (İngilizce) (Burslu) (4 Yıllık),EA,Burslu,2022|2023|2024|2025,4,25
İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,Psikoloji (Ücretli) (4 Yıllık),EA,Ücretli,2022|2023|2024|2025,4,80
